"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年11月15日","26,326.66","26,529.95","26,544.65","26,300.08","1.18B","0.01%"
"2019年11月14日","26,323.69","26,444.23","26,605.96","26,203.97","1.55B","-0.93%"
"2019年11月13日","26,571.46","26,761.16","26,761.16","26,465.33","1.86B","-1.82%"
"2019年11月12日","27,065.28","27,064.26","27,076.67","26,794.61","1.15B","0.52%"
"2019年11月11日","26,926.55","27,361.41","27,361.41","26,830.47","1.92B","-2.62%"
"2019年11月8日","27,651.14","27,894.56","27,894.56","27,582.29","1.49B","-0.70%"
"2019年11月7日","27,847.23","27,690.60","27,900.80","27,534.91","1.35B","0.57%"
"2019年11月6日","27,688.64","27,636.33","27,750.91","27,547.77","1.32B","0.02%"
"2019年11月5日","27,683.40","27,601.10","27,733.07","27,463.33","1.75B","0.49%"
"2019年11月4日","27,547.30","27,299.88","27,547.30","27,299.46","1.78B","1.65%"
"2019年11月1日","27,100.76","26,806.44","27,102.42","26,800.57","1.42B","0.72%"
"2019年10月31日","26,906.72","26,708.45","27,009.50","26,708.45","1.91B","0.90%"
"2019年10月30日","26,667.71","26,766.98","26,809.53","26,602.95","1.55B","-0.44%"
"2019年10月29日","26,786.76","27,027.56","27,027.56","26,729.06","1.52B","-0.39%"
"2019年10月28日","26,891.26","26,770.11","27,005.68","26,762.70","1.48B","0.84%"
"2019年10月25日","26,667.39","26,795.64","26,795.64","26,621.18","1.15B","-0.49%"
"2019年10月24日","26,797.95","26,651.03","26,810.43","26,592.18","1.50B","0.87%"
"2019年10月23日","26,566.73","26,771.98","26,818.99","26,491.71","1.27B","-0.82%"
"2019年10月22日","26,786.20","26,813.81","26,844.29","26,698.30","1.50B","0.23%"
"2019年10月21日","26,725.68","26,715.22","26,818.44","26,658.32","1.05B","0.02%"
"2019年10月18日","26,719.58","26,910.55","26,985.08","26,650.13","1.54B","-0.48%"
"2019年10月17日","26,848.49","26,809.04","26,956.82","26,729.51","1.40B","0.69%"
"2019年10月16日","26,664.28","26,553.90","26,698.56","26,432.43","1.69B","0.61%"
"2019年10月15日","26,503.93","26,609.13","26,609.13","26,433.43","1.57B","-0.07%"
"2019年10月14日","26,521.85","26,520.93","26,636.93","26,386.41","2.10B","0.81%"
"2019年10月11日","26,308.44","25,986.82","26,393.01","25,976.07","2.03B","2.34%"
"2019年10月10日","25,707.93","25,625.57","25,809.58","25,521.95","1.43B","0.10%"
"2019年10月9日","25,682.81","25,736.88","25,866.84","25,656.66","1.59B","-0.81%"
"2019年10月8日","25,893.40","25,848.73","26,180.03","25,761.50","1.78B","0.28%"
"2019年10月4日","25,821.03","26,169.51","26,169.51","25,612.49","1.14B","-1.11%"
"2019年10月3日","26,110.31","25,831.44","26,192.87","25,809.47","1.14B","0.26%"
"2019年10月2日","26,042.69","25,901.47","26,092.62","25,778.22","1.20B","-0.19%"
"2019年9月30日","26,092.27","25,844.71","26,161.70","25,786.29","1.34B","0.53%"
"2019年9月27日","25,954.81","25,977.98","26,017.46","25,840.66","984.28M","-0.33%"
"2019年9月26日","26,041.93","26,075.15","26,099.64","25,917.58","1.70B","0.37%"
"2019年9月25日","25,945.35","26,162.71","26,190.56","25,917.68","1.76B","-1.28%"
"2019年9月24日","26,281.00","26,300.21","26,391.98","26,207.27","2.09B","0.22%"
"2019年9月23日","26,222.40","26,463.62","26,483.03","26,186.01","1.29B","-0.81%"
"2019年9月20日","26,435.67","26,532.88","26,564.36","26,410.41","1.97B","-0.13%"
"2019年9月19日","26,468.95","26,820.73","26,820.73","26,372.09","1.33B","-1.07%"
"2019年9月18日","26,754.12","26,838.43","26,891.16","26,730.63","1.37B","-0.13%"
"2019年9月17日","26,790.24","26,942.96","26,951.84","26,694.37","1.85B","-1.23%"
"2019年9月16日","27,124.55","27,212.89","27,212.89","26,976.30","2.19B","-0.83%"
"2019年9月13日","27,352.69","27,154.51","27,366.45","27,074.54","1.18B","0.98%"
"2019年9月12日","27,087.63","27,283.98","27,283.98","26,967.25","1.34B","-0.26%"
"2019年9月11日","27,159.06","26,790.64","27,159.51","26,705.63","2.07B","1.78%"
"2019年9月10日","26,683.68","26,831.98","26,870.77","26,634.47","1.74B","0.01%"
"2019年9月9日","26,681.40","26,743.36","26,807.86","26,609.65","1.70B","-0.04%"
"2019年9月6日","26,690.76","26,773.13","26,790.79","26,563.17","1.90B","0.66%"
"2019年9月5日","26,515.53","26,512.86","26,697.85","26,283.12","2.00B","-0.03%"
"2019年9月4日","26,523.23","25,675.16","26,654.21","25,675.16","2.69B","3.90%"
"2019年9月3日","25,527.85","25,546.32","25,736.05","25,498.11","1.15B","-0.39%"
"2019年9月2日","25,626.55","25,627.83","25,662.31","25,502.70","1.30B","-0.38%"
"2019年8月30日","25,724.73","26,011.64","26,011.64","25,536.15","2.02B","0.08%"
"2019年8月29日","25,703.50","25,606.33","25,714.78","25,372.49","1.78B","0.34%"
"2019年8月28日","25,615.48","25,767.08","25,830.64","25,596.08","1.46B","-0.19%"
"2019年8月27日","25,664.07","25,715.98","25,764.61","25,581.73","2.21B","-0.06%"
"2019年8月26日","25,680.33","25,322.00","25,692.28","25,249.51","2.48B","-1.91%"
"2019年8月23日","26,179.33","26,057.88","26,241.22","25,940.44","1.62B","0.50%"
"2019年8月22日","26,048.72","26,272.91","26,288.24","25,977.67","1.78B","-0.84%"
"2019年8月21日","26,270.04","26,160.54","26,318.13","26,075.91","1.70B","0.15%"
"2019年8月20日","26,231.54","26,256.54","26,347.23","26,149.40","1.82B","-0.23%"
"2019年8月19日","26,291.84","25,994.80","26,356.22","25,994.80","2.14B","2.17%"
"2019年8月16日","25,734.22","25,484.96","25,798.11","25,314.27","2.02B","0.94%"
"2019年8月15日","25,495.46","24,945.74","25,552.13","24,899.93","2.15B","0.76%"
"2019年8月14日","25,302.28","25,711.10","25,717.98","25,197.38","1.92B","0.08%"
"2019年8月13日","25,281.30","25,536.62","25,616.71","25,270.91","1.98B","-2.10%"
"2019年8月12日","25,824.72","25,869.48","26,069.23","25,824.72","1.20B","-0.44%"
"2019年8月9日","25,939.30","26,278.92","26,313.78","25,939.30","1.40B","-0.69%"
"2019年8月8日","26,120.77","25,999.45","26,317.42","25,999.45","1.71B","0.48%"
"2019年8月7日","25,997.03","25,977.72","26,025.44","25,738.80","1.72B","0.08%"
"2019年8月6日","25,976.24","25,472.43","26,042.23","25,397.35","2.84B","-0.67%"
"2019年8月5日","26,151.32","26,480.47","26,502.61","26,086.86","2.19B","-2.85%"
"2019年8月2日","26,918.58","26,950.53","27,043.46","26,868.96","2.39B","-2.35%"
"2019年8月1日","27,565.70","27,582.21","27,754.04","27,495.89","1.79B","-0.76%"
"2019年7月31日","27,777.75","27,931.28","27,939.72","27,701.44","1.33B","-1.31%"
"2019年7月30日","28,146.50","28,059.82","28,274.65","28,059.82","1.18B","0.14%"
"2019年7月29日","28,106.41","28,262.80","28,302.66","27,945.41","1.61B","-1.03%"
"2019年7月26日","28,397.74","28,406.07","28,487.64","28,338.30","1.36B","-0.69%"
"2019年7月25日","28,594.30","28,575.49","28,628.51","28,517.01","1.00B","0.25%"
"2019年7月24日","28,524.04","28,578.14","28,764.50","28,515.92","1.11B","0.20%"
"2019年7月23日","28,466.48","28,392.04","28,489.29","28,313.79","979.41M","0.34%"
"2019年7月22日","28,371.26","28,612.28","28,649.44","28,303.55","1.14B","-1.37%"
"2019年7月19日","28,765.40","28,585.15","28,809.59","28,551.20","1.30B","1.07%"
"2019年7月18日","28,461.66","28,393.04","28,511.65","28,376.50","953.65M","-0.46%"
"2019年7月17日","28,593.17","28,463.77","28,593.17","28,377.34","979.84M","-0.09%"
"2019年7月16日","28,619.62","28,583.93","28,634.65","28,489.41","1.06B","0.23%"
"2019年7月15日","28,554.88","28,303.36","28,567.25","28,071.19","1.36B","0.29%"
"2019年7月12日","28,471.62","28,401.87","28,603.87","28,399.66","1.24B","0.14%"
"2019年7月11日","28,431.80","28,347.86","28,582.69","28,347.86","1.10B","0.81%"
"2019年7月10日","28,204.69","28,245.09","28,311.78","28,144.87","1.04B","0.31%"
"2019年7月9日","28,116.28","28,299.73","28,312.97","28,080.73","1.26B","-0.76%"
"2019年7月8日","28,331.69","28,513.14","28,541.10","28,194.07","1.29B","-1.54%"
"2019年7月5日","28,774.83","28,785.53","28,880.58","28,714.92","873.11M","-0.07%"
"2019年7月4日","28,795.77","28,891.97","29,007.98","28,776.48","957.16M","-0.21%"
"2019年7月3日","28,855.14","28,781.97","28,891.89","28,721.21","1.33B","-0.07%"
"2019年7月2日","28,875.56","28,904.04","28,959.06","28,768.54","2.18B","1.17%"
