,trade_date,open,close,high,low,pre_close,change,pct_chg,ts_code
315,20190214,28396.4,28432.05,28476.65,28275.18,28497.59,-65.54,-0.23,HSI
316,20190213,28184.87,28497.59,28533.36,28160.46,28171.33,326.26,1.1581,HSI
317,20190212,28093.31,28171.33,28219.59,27983.48,28143.84,27.49,0.0977,HSI
318,20190211,27927.45,28143.84,28143.84,27847.85,27946.32,197.52,0.7068,HSI
319,20190201,28193.28,27930.74,28193.28,27802.5,27942.47,-11.73,-0.042,HSI
320,20190131,27842.05,27942.47,28010.9,27773.98,27642.85,299.62,1.0839,HSI
321,20190130,27571.41,27642.85,27642.85,27369.75,27531.68,111.17,0.4038,HSI
322,20190129,27397.54,27531.68,27575.37,27328.17,27576.96,-45.28,-0.1642,HSI
323,20190128,27695.81,27576.96,27790.22,27462.37,27569.19,7.77,0.0282,HSI
324,20190125,27282.88,27569.19,27569.19,27217.75,27120.98,448.21,1.6526,HSI
325,20190124,27075.37,27120.98,27120.98,26889.79,27008.2,112.78,0.4176,HSI
326,20190123,26879.91,27008.2,27131.22,26879.91,27005.45,2.75,0.0102,HSI
327,20190122,27189.4,27005.45,27223.7,26854.66,27196.54,-191.09,-0.7026,HSI
328,20190121,27134.27,27196.54,27323.61,27084.3,27090.81,105.73,0.3903,HSI
329,20190118,26993.44,27090.81,27116.65,26915.08,26755.63,335.18,1.2527,HSI
330,20190117,26953.21,26755.63,27012.19,26703.31,26902.1,-146.47,-0.5445,HSI
331,20190116,26702.93,26902.1,26903.78,26567.52,26830.29,71.81,0.2676,HSI
332,20190115,26518.62,26830.29,26838.55,26427.45,26298.33,531.96,2.0228,HSI
333,20190114,26559.68,26298.33,26575.33,26195.78,26667.27,-368.94,-1.3835,HSI
334,20190111,26692.02,26667.27,26692.02,26494.86,26521.43,145.84,0.5499,HSI
335,20190110,26391.78,26521.43,26588.21,26212.34,26462.32,59.11,0.2234,HSI
336,20190109,26237.29,26462.32,26597.07,26192.65,25875.45,586.87,2.2681,HSI
337,20190108,25852.5,25875.45,25960.89,25688.5,25835.7,39.75,0.1539,HSI
338,20190107,26015.84,25835.7,26043.64,25753.46,25626.03,209.67,0.8182,HSI
339,20190104,24946.12,25626.03,25626.03,24924.73,25064.36,561.67,2.2409,HSI
340,20190103,25077.68,25064.36,25262.21,24896.87,25130.35,-65.99,-0.2626,HSI
341,20190102,25824.44,25130.35,25824.44,25055.27,25845.7,-715.35,-2.7678,HSI
342,20181228,25502.34,25504.2,25600.25,25416.36,25478.88,25.32,0.0994,HSI
343,20181227,25818.81,25478.88,25920.63,25446.8,25651.38,-172.5,-0.6725,HSI
344,20181224,25515.4,25651.38,25651.38,25421.43,25753.42,-102.04,-0.3962,HSI
345,20181221,25512.3,25753.42,25805.61,25313.75,25623.53,129.89,0.5069,HSI
346,20181220,25723.53,25623.53,25859.82,25416.88,25865.39,-241.86,-0.9351,HSI
347,20181219,25860.68,25865.39,25925.99,25784.09,25814.25,51.14,0.1981,HSI
348,20181218,25903.98,25814.25,26152.88,25713.5,26087.98,-273.73,-1.0493,HSI
349,20181217,26178.04,26087.98,26186.3,26002.3,26094.79,-6.81,-0.0261,HSI
350,20181214,26219.0,26094.79,26219.0,26061.47,26524.35,-429.56,-1.6195,HSI
351,20181213,26417.89,26524.35,26581.93,26314.77,26186.71,337.64,1.2894,HSI
352,20181212,26054.01,26186.71,26238.73,26013.36,25771.67,415.04,1.6105,HSI
353,20181211,25623.4,25771.67,25861.73,25623.4,25752.38,19.29,0.0749,HSI
354,20181210,25794.95,25752.38,25845.34,25570.89,26063.76,-311.38,-1.1947,HSI
